Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
1/1/2015,5792,15216843,9191,26055797,127279,10,267,11
1/2/2015,12371,15229214,18222,26074019,127293,14,298,8
1/3/2015,4834,15234048,6282,26080301,127300,7,96,7
1/4/2015,8509,15242557,11700,26092001,127308,8,152,5
1/5/2015,15792,15258349,20022,26112023,127336,28,88,12
1/6/2015,9483,15267832,12003,26124026,127354,18,2,1
1/7/2015,10685,15278517,12791,26136817,127363,9,5,1
1/8/2015,9777,15288294,11667,26148484,127372,9,18,0
1/9/2015,8631,15296925,11093,26159577,127376,4,16,2
1/10/2015,6826,15303751,8189,26167766,127383,7,51,3
1/11/2015,8204,15311955,10199,26177965,127395,12,68,8
1/12/2015,9441,15321396,11589,26189554,127408,13,27,2
1/13/2015,14134,15335530,17429,26206983,127418,10,23,10
1/14/2015,14396,15349926,18105,26225088,127427,9,43,7
1/15/2015,15463,15365389,19803,26244891,127434,7,64,8
1/16/2015,15059,15380448,19084,26263975,127441,7,94,14
1/17/2015,8243,15388691,10818,26274793,127453,12,152,3
1/18/2015,2038,15390729,2435,26277228,127461,8,12,0
1/19/2015,11913,15402642,15733,26292961,127470,9,124,11
1/20/2015,17615,15420257,22740,26315701,127502,32,93,9
1/21/2015,16734,15436991,21228,26336929,127520,18,67,16
1/22/2015,17435,15454426,22630,26359559,127530,10,74,9
1/23/2015,17080,15471506,22248,26381807,127545,15,95,14
1/24/2015,5275,15476781,6723,26388530,127552,7,41,2
1/25/2015,10235,15487016,14421,26402951,127559,7,202,4
1/26/2015,4537,15491553,5979,26408930,127566,7,15,0
1/27/2015,1405,15492958,2343,26411273,127569,3,36,1
1/28/2015,6223,15499181,9907,26421180,127575,6,12,2
1/29/2015,9845,15509026,14171,26435351,127586,11,31,3
1/30/2015,9943,15518969,12945,26448296,127595,9,21,6
1/31/2015,5752,15524721,7328,26455624,127596,1,38,2
2/1/2015,7214,15531935,9186,26464810,127608,12,72,8
2/2/2015,1686,15533621,2635,26467445,127608,0,6,0
2/3/2015,5443,15539064,7816,26475261,127612,4,5,1
2/4/2015,9854,15548918,13775,26489036,127624,12,27,1
2/5/2015,9977,15558895,12607,26501643,127630,6,13,1
2/6/2015,9334,15568229,11948,26513591,127635,5,26,4
2/7/2015,7346,15575575,10045,26523636,127640,5,83,7
2/8/2015,7180,15582755,9671,26533307,127642,2,65,7
2/9/2015,5717,15588472,7234,26540541,127646,4,10,3
2/10/2015,11289,15599761,14526,26555067,127652,6,36,5
2/11/2015,12453,15612214,16204,26571271,127657,5,46,12
2/12/2015,12651,15624865,16248,26587519,127667,10,45,1
2/13/2015,8595,15633460,10773,26598292,127674,7,28,2
2/14/2015,5124,15638584,6392,26604684,127678,4,54,2
2/15/2015,2837,15641421,3289,26607973,127681,3,12,0
2/16/2015,4500,15645921,5423,26613396,127682,1,19,2
2/17/2015,5289,15651210,6869,26620265,127683,1,14,2
2/18/2015,10001,15661211,12995,26633260,127693,10,35,6
2/19/2015,8485,15669696,10080,26643340,127696,3,14,0
2/20/2015,6825,15676521,8056,26651396,127700,4,14,3
2/21/2015,3453,15679974,4164,26655560,127701,1,24,5
2/22/2015,4654,15684628,6648,26662208,127706,5,55,4
2/23/2015,8343,15692971,10519,26672727,127714,8,11,8
2/24/2015,8483,15701454,10675,26683402,127729,15,12,1
2/25/2015,12057,15713511,15655,26699057,127739,10,49,5
2/26/2015,11047,15724558,14744,26713801,127747,8,26,7
2/27/2015,10861,15735419,14313,26728114,127753,6,57,10
2/28/2015,6836,15742255,8975,26737089,127754,1,71,3
3/1/2015,3169,15745424,4042,26741131,127763,9,37,4
3/2/2015,8019,15753443,10767,26751898,127770,7,27,3
3/3/2015,7178,15760621,9430,26761328,127775,5,18,2
3/4/2015,8265,15768886,10842,26772170,127779,4,28,4
3/5/2015,1821,15770707,2604,26774774,127784,5,4,0
3/6/2015,5953,15776660,8248,26783022,127792,8,19,6
3/7/2015,6255,15782915,8849,26791871,127799,7,96,9
3/8/2015,8711,15791626,13701,26805572,127819,20,245,16
3/9/2015,16365,15807991,24159,26829731,127852,33,218,24
3/10/2015,13080,15821071,17626,26847357,127886,34,126,17
3/11/2015,21728,15842799,33446,26880803,127936,50,386,29
3/12/2015,19246,15862045,26931,26907734,127977,41,195,22
3/13/2015,17850,15879895,24699,26932433,128023,46,239,27
3/14/2015,4302,15884197,5592,26938025,128041,18,60,5
3/15/2015,9676,15893873,13635,26951660,128071,30,260,31
3/16/2015,18476,15912349,26091,26977751,128108,37,273,35
3/17/2015,16287,15928636,22462,27000213,128143,35,178,21
3/18/2015,15050,15943686,11465,27011678,128169,26,110,15
3/19/2015,16699,15960385,16176,27027854,128191,22,150,14
3/20/2015,8786,15969171,11465,27039319,128204,13,58,6
3/21/2015,10236,15979407,16176,27055495,128216,12,367,23
3/22/2015,10638,15990045,16098,27071593,128249,33,381,10
3/23/2015,14669,16004714,18957,27090550,128286,37,111,25